Date,AAPL,AMJ,JLL
07/06/2022,74064250,405861,401118
07/05/2022,73429640,523628,393082
07/01/2022,71051550,449522,305767
06/30/2022,98964470,266226,675012
06/29/2022,66242410,335995,295287
06/28/2022,67315330,573233,327532
06/27/2022,70207910,906297,299118
06/24/2022,89116840,507874,432961
06/23/2022,72433770,593610,483854
06/22/2022,73409230,939773,456961
06/21/2022,81000490,614190,643332
06/17/2022,134520300,446406,1310050
06/16/2022,107961500,420827,495501
06/15/2022,91532970,538977,735453
06/14/2022,84784330,647387,450845
06/13/2022,122207100,589528,555090
06/10/2022,91566640,458691,334366
06/09/2022,69472980,455347,286480
06/08/2022,53950200,861606,320335
06/07/2022,67808150,739006,325385
